latitude,longitude,status,detected_at,source,copernicus_product_id,validation_status,notes
33.2592550742,33.0577775973,Oil spill,2019-01-01T03:42:35Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190101T034300_20190101T034325_014295_01A97E_39B8.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.6854446376,32.0289591005,Oil spill,2019-01-04T15:56:38Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190104T155703_20190104T155728_025330_02CD9D_BBAA.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.5731314340,30.6272715270,Oil spill,2019-01-10T15:56:11Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.4077794823,32.4772004776,Oil spill,2019-01-11T15:48:36Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190111T154901_20190111T154926_025432_02D14A_4A63.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.6636907029,31.1812104962,Oil spill,2019-01-12T03:51:17Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190112T035232_20190112T035259_025439_02D183_0BB2.SAFE;S1A_IW_GRDH_1SDV_20190112T035207_20190112T035232_025439_02D183_4040.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.0756439287,35.2646863248,Oil spill,2019-01-12T15:39:43Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190112T154033_20190112T154058_014463_01AEE6_B38F.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.6101004343,34.8892282890,Oil spill,2019-01-19T03:42:58Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190119T034323_20190119T034348_025541_02D53C_8F34.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.3466783088,32.3332670656,Oil spill,2019-01-22T15:56:10Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190122T155610_20190122T155635_014609_01B38B_28CE.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.7598107942,31.2857604963,Oil spill,2019-01-22T15:56:41Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.3430151006,30.6869577354,Oil spill,2019-01-22T15:56:41Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190122T155710_20190122T155735_014609_01B38C_4548.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.0800914893,30.2991567974,Oil spill,2019-01-23T03:58:50Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190123T035915_20190123T035940_014616_01B3CB_38CE.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.1678420077,30.9463051994,Oil spill,2019-01-23T03:58:50Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190123T035940_20190123T040005_014616_01B3CB_32E6.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
